date,recon,login,exploit,botnet
2018-06-30,0.978554,0.710101,0.742945,0.844478
2018-07-01,0.971143,0.678639,0.740793,0.846748
2018-07-02,0.955316,0.635046,0.750656,0.847997
2018-07-03,0.935408,0.583387,0.765701,0.849319
2018-07-04,0.912319,0.529883,0.781574,0.836543
2018-07-05,0.886581,0.478474,0.79736,0.824246
2018-07-06,0.863192,0.431544,0.814331,0.814409
2018-07-07,0.844052,0.397635,0.83374,0.805355
2018-07-08,0.82969,0.377219,0.852354,0.797922
2018-07-09,0.821661,0.365588,0.857057,0.81169
2018-07-10,0.815342,0.356166,0.856703,0.842461
2018-07-11,0.812417,0.34997,0.857717,0.874157
2018-07-12,0.815112,0.347406,0.858139,0.899012
2018-07-13,0.820745,0.34334,0.859188,0.917007
2018-07-14,0.827071,0.333902,0.859394,0.932034
2018-07-15,0.834729,0.323883,0.85982,0.944529
2018-07-16,0.842635,0.316625,0.876165,0.938126
2018-07-17,0.853041,0.318264,0.896182,0.91013
2018-07-18,0.861311,0.328286,0.912238,0.876882
2018-07-19,0.864534,0.341737,0.927349,0.836108
2018-07-20,0.864863,0.361076,0.94066,0.785986
2018-07-21,0.865057,0.387455,0.953411,0.715602
2018-07-22,0.864962,0.416513,0.964359,0.593729
2018-07-23,0.864902,0.445952,0.966904,0.446214
2018-07-24,0.864366,0.472405,0.96679,0.40886
2018-07-25,0.867081,0.493287,0.966406,0.368878
2018-07-26,0.873689,0.512872,0.964474,0.335428
2018-07-27,0.880579,0.529345,0.962274,0.297217
2018-07-28,0.884765,0.543035,0.959381,0.26237
2018-07-29,0.884751,0.554633,0.956871,0.244138
2018-07-30,0.880957,0.563997,0.957296,0.223551
2018-07-31,0.872247,0.569876,0.956474,0.206419
2018-08-01,0.85771,0.574619,0.955,0.162801
2018-08-02,0.839205,0.575461,0.954208,0.113356
2018-08-03,0.821973,0.573947,0.951772,0.083782
2018-08-04,0.808385,0.568923,0.947274,0.062456
2018-08-05,0.800622,0.562862,0.945501,0.04114
2018-08-06,0.798553,0.554529,0.947286,0.019952
2018-08-07,0.803081,0.546494,0.952618,0.0
2018-08-08,0.812594,0.537851,0.958995,0.034593
2018-08-09,0.826022,0.530431,0.965551,0.040725
2018-08-10,0.840048,0.523187,0.973686,0.046806
2018-08-11,0.853864,0.516813,0.983353,0.049287
2018-08-12,0.865313,0.505255,0.987172,0.047514
2018-08-13,0.873583,0.491255,0.984412,0.04263
2018-08-14,0.878647,0.472874,0.977988,0.034161
2018-08-15,0.882534,0.450797,0.969669,0.022148
2018-08-16,0.883748,0.42436,0.959808,0.021784
2018-08-17,0.882668,0.394056,0.947895,0.054493
2018-08-18,0.88059,0.364653,0.934139,0.139414
2018-08-19,0.88011,0.346128,0.92382,0.23112
2018-08-20,0.882893,0.338661,0.918708,0.313916
2018-08-21,0.888227,0.34314,0.916654,0.382876
2018-08-22,0.89476,0.359333,0.915329,0.437883
2018-08-23,0.902623,0.383529,0.914009,0.479399
2018-08-24,0.911822,0.414449,0.912517,0.508974
2018-08-25,0.92291,0.443639,0.909923,0.525596
2018-08-26,0.934113,0.467537,0.909253,0.531297
2018-08-27,0.943137,0.486281,0.912375,0.525338
2018-08-28,0.951053,0.501675,0.917687,0.507185
2018-08-29,0.958754,0.51138,0.92647,0.477167
2018-08-30,0.968063,0.517896,0.938785,0.439259
2018-08-31,0.978052,0.517299,0.952155,0.392339
2018-09-01,0.984772,0.51188,0.966941,0.338529
2018-09-02,0.988804,0.502656,0.976945,0.278276
2018-09-03,0.992129,0.48927,0.981319,0.21995
2018-09-04,0.9945,0.471785,0.98204,0.178117
2018-09-05,0.993956,0.451908,0.979214,0.155428
2018-09-06,0.989853,0.428208,0.97095,0.130462
2018-09-07,0.98344,0.409422,0.959485,0.105055
2018-09-08,0.978608,0.396999,0.942609,0.080375
2018-09-09,0.975949,0.390239,0.928639,0.060849
2018-09-10,0.974757,0.388678,0.920646,0.047516
2018-09-11,0.973695,0.390103,0.918151,0.038887
2018-09-12,0.975148,0.396054,0.919949,0.035083
2018-09-13,0.977899,0.406082,0.928922,0.032961
2018-09-14,0.980395,0.414744,0.942755,0.02993
2018-09-15,0.980135,0.422969,0.961258,0.026585
2018-09-16,0.977222,0.431176,0.975691,0.022511
2018-09-17,0.971509,0.439632,0.985524,0.018739
2018-09-18,0.96458,0.447821,0.991393,0.014945
2018-09-19,0.954681,0.453887,0.994475,0.014389
2018-09-20,0.944086,0.460352,0.993544,0.014426
2018-09-21,0.934232,0.466512,0.987833,0.015705
2018-09-22,0.9266,0.469576,0.976283,0.017452
2018-09-23,0.919919,0.470592,0.966578,0.021586
2018-09-24,0.914964,0.471673,0.961524,0.025974
2018-09-25,0.911469,0.472931,0.961304,0.045523
2018-09-26,0.910449,0.474072,0.963927,0.083624
2018-09-27,0.909408,0.467214,0.970347,0.115642
2018-09-28,0.908363,0.459335,0.979884,0.141997
2018-09-29,0.906873,0.451775,0.992302,0.16449
2018-09-30,0.905067,0.443032,0.999055,0.183437
2018-10-01,0.903499,0.43081,1.0,0.200569
2018-10-02,0.901188,0.416413,0.996056,0.209873
2018-10-03,0.898296,0.401588,0.990021,0.205427
2018-10-04,0.894917,0.400249,0.981134,0.199707
2018-10-05,0.89011,0.39851,0.96872,0.193962
2018-10-06,0.884062,0.39709,0.95212,0.18803
2018-10-07,0.878504,0.398261,0.939072,0.181774
2018-10-08,0.871514,0.403494,0.928599,0.17595
2018-10-09,0.865257,0.412334,0.921593,0.171381
2018-10-10,0.860411,0.422585,0.914979,0.168625
2018-10-11,0.858347,0.426387,0.909004,0.167317
2018-10-12,0.860095,0.430332,0.905416,0.16593
2018-10-13,0.865375,0.434065,0.902961,0.1646
2018-10-14,0.872605,0.436121,0.896492,0.163245
2018-10-15,0.881945,0.434971,0.889561,0.161263
2018-10-16,0.892957,0.431702,0.881844,0.161403
2018-10-17,0.903278,0.426366,0.875563,0.166379
2018-10-18,0.912297,0.421608,0.870119,0.169921
2018-10-19,0.919056,0.41735,0.864199,0.173388
2018-10-20,0.922817,0.413273,0.858695,0.176782
2018-10-21,0.924956,0.409272,0.856222,0.179278
2018-10-22,0.931749,0.40821,0.85488,0.180568
2018-10-23,0.937063,0.405768,0.853617,0.17344
2018-10-24,0.944073,0.405025,0.851403,0.164284
2018-10-25,0.952748,0.40498,0.84965,0.155121
2018-10-26,0.963661,0.406323,0.849021,0.145271
2018-10-27,0.978244,0.409646,0.849598,0.134619
2018-10-28,0.993647,0.414943,0.852259,0.124441
2018-10-29,0.997956,0.418228,0.859055,0.112771
2018-10-30,1.0,0.42474,0.869363,0.112563
2018-11-01,0.996208,0.43102,0.883377,0.113432
2018-11-02,0.987431,0.436059,0.895752,0.113753
2018-11-03,0.97407,0.440417,0.906443,0.114617
2018-11-04,0.954687,0.443476,0.917168,0.116571
2018-11-05,0.932169,0.444544,0.925059,0.124813
2018-11-06,0.91642,0.446106,0.927782,0.145521
2018-11-07,0.902896,0.445823,0.927117,0.162441
2018-11-08,0.892778,0.444598,0.919953,0.172592
2018-11-09,0.886534,0.442137,0.911984,0.182381
2018-11-10,0.881489,0.437709,0.903508,0.191228
